Banco,Dirección,Provincia,Localidad,Codigo Postal,Latitud,Longitud
BANCO DE LA NACION ARGENTINA,BARTOLOME MITRE 199,BUENOS AIRES,ADOLFO GONZALES CHAVES (EST. CHAVES),B7513CQC,-38.0324,-600.982
BANCO SANTANDER RIO S.A.,ALMIRANTE FRANCISCO SEGUI 776 PB DPTO: 1,BUENOS AIRES,ADROGUÉ,B1846DSP,34.799568,58.395717
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. ESPORA 1462,BUENOS AIRES,ADROGUÉ,B1846BTL,-34.808011,-58.391014
HSBC BANK ARGENTINA S.A.,AV. HIPOLITO YRIGOYEN 13200,BUENOS AIRES,ADROGUÉ,B1832DGB,-34.761309,-58.401153
BANCO ITAU ARGENTINA S.A.,AVENIDA ESPORA 644/50 DPTO: OFICINA,BUENOS AIRES,ADROGUÉ,B1846BTR,-34.796502,-58.388686
BANCO ITAU ARGENTINA S.A.,AVENIDA ESPORA 644/50 DPTO: OFICINA,BUENOS AIRES,ADROGUÉ,B1846BTR,-34.796502,-58.388686
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BARTOLOME MITRE 1160,BUENOS AIRES,ADROGUÉ,B1846DTJ,-34.822518,-58.393491
BBVA BANCO FRANCES S.A.,ESTEBAN ADROGUE 1029,BUENOS AIRES,ADROGUÉ,B1846FHA,-34.798702,-58.391289
BBVA BANCO FRANCES S.A.,ESTEBAN ADROGUE 1029,BUENOS AIRES,ADROGUÉ,B1846FHA,-34.798702,-58.391289
BANCO PATAGONIA S.A.,ESTEBAN ADROGUE 1038,BUENOS AIRES,ADROGUÉ,B1846FHB,-34.798674,-58.391304
BANCO SUPERVIELLE S.A.,ESTEBAN ADROGUE 1050,BUENOS AIRES,ADROGUÉ,B1846FHB,-34.7987,-58.3913
BANCO DE LA NACION ARGENTINA,ESTEBAN ADROGUE 1052,BUENOS AIRES,ADROGUÉ,B1846FHB,-34.7987,-583.9129
BANCO DE LA NACION ARGENTINA,ESTEBAN ADROGUE 1052,BUENOS AIRES,ADROGUÉ,B1846FHB,-34.798704,-583.9129
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,ESTEBAN ADROGUE 1060,BUENOS AIRES,ADROGUÉ,B1846FHB,-34.798704,-58.39129
BANCO SANTANDER RIO S.A.,ESTEBAN ADROGUE 1212 PB DPTO: 1,BUENOS AIRES,ADROGUÉ,B1846FHF,34.798336,58.390421
BANCO DE LA PROVINCIA DE BUENOS AIRES,GORRITI 859,BUENOS AIRES,ADROGUÉ,B1846FFL,-34.812138,-58.385575
BANCO DE LA PROVINCIA DE BUENOS AIRES,ROSALES 1312,BUENOS AIRES,ADROGUÉ,B1846CEF,-34.800255,-58.388321
BANCO MACRO S.A.,ROTONDA PLAZA ESPORA 69 PB,BUENOS AIRES,ADROGUÉ,B1846CED,-34.788123,-58.389128
BANCO SUPERVIELLE S.A.,SEGUI 752,BUENOS AIRES,ADROGUÉ,B1846DSQ,-34.7998,-58.3959
BANCO DE LA PROVINCIA DE BUENOS AIRES,SOMELLERA 599,BUENOS AIRES,ADROGUÉ,B1846BFA,-34.79829,-58.39337
HSBC BANK ARGENTINA S.A.,SOMELLERA 602,BUENOS AIRES,ADROGUÉ,B1846BFB,-34.798332,-58.839336
BANCO ITAU ARGENTINA S.A.,AUTOPISTA RICHIERI KM 027 DPTO: OFICINA,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,B1802FAA,-34.822611,-58.534813
BANCO DE LA NACION ARGENTINA,AUTOPISTA TTE GRAL RICCHIERI 33,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,B1802EZE,-34.80912,-585.39748
BANCO DE LA NACION ARGENTINA,AUTOPISTA TTE GRAL RICCHIERI 33,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,B1802EZE,-34.809117,-585.39748
BANCO DE LA NACION ARGENTINA,AUTOPISTA TTE GRAL RICCHIERI 33,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,B1802EZE,-34.809275,-585.396623
BANCO DE LA NACION ARGENTINA,AUTOPISTA TTE. GRAL. RICCHIERI 33,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,B1802EZE,-34.815154,-585.43046
BANCO DE LA NACION ARGENTINA,AUTOPISTA TTE. GRAL. RICCHIERI 33,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,B1802EZE,-34.81348,-585.3883
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. VACAREZZA 202,BUENOS AIRES,ALBERTI (EST. ANDRES VACCAREZZA),B6634CTP,-35.030527,-60.28002
BANCO MACRO S.A.,AV. VACAREZZA 51 PB,BUENOS AIRES,ALBERTI (EST. ANDRES VACCAREZZA),B6634COB,-34.610447,-58.401716
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. VACCAREZZA 202,BUENOS AIRES,ALBERTI (EST. ANDRES VACCAREZZA),B6634CTP,-35.030762,-60.280025
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. LINO LAGOS 1928,BUENOS AIRES,ALDO BONZI,B1785BST,-34.709059,-58.514855
BANCO DE LA PROVINCIA DE BUENOS AIRES,SAGARRA 67,BUENOS AIRES,ALEJANDRO KORN,B1864AUA,-34.981877,-58.374079
BANCO DE LA PROVINCIA DE BUENOS AIRES,SAGARRA 67,BUENOS AIRES,ALEJANDRO KORN,B1864AUA,-34.981877,-58.374079
BANCO DE LA NACION ARGENTINA,AV. CHACON 497,BUENOS AIRES,ALFREDO DEMARCHI (EST. FACUNDO QUIROGA),B6560ALE,-35.2935,-614.0463
BANCO DE LA PROVINCIA DE BUENOS AIRES,DR. MANUEL ARCE 86,BUENOS AIRES,ALFREDO DEMARCHI (EST. FACUNDO QUIROGA),B6533XAA,-35.285339,-61.419071
BANCO SANTANDER RIO S.A.,"AV. DEL SESQUICENTENARIO , RUTA 197",BUENOS AIRES,ALMIRANTE BROWN,B1846AXB,34.492839,58.703701
COMPAÑIA FINANCIERA ARGENTINA S.A.,EUGENIO DE BURZACO 763,BUENOS AIRES,ALMIRANTE BROWN,B1852BGI,-34.826283,-58.392501
BANCO INDUSTRIAL S.A.,RAFAEL ALTAMIRA 1540,BUENOS AIRES,ALMIRANTE BROWN,B1847BGH,34.793277,58.359062
BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA M,BANFI 57 PB,BUENOS AIRES,AMERICA,B6237ABA,-35.49004,-62.97708
BANCO DE LA NACION ARGENTINA,RIVADAVIA 301,BUENOS AIRES,AMERICA,B6237CFF,-35.49007,-629.76291
BANCO DE LA NACION ARGENTINA,RIVADAVIA 301,BUENOS AIRES,AMERICA,B6237CFF,-35.490073,-629.76291
BANCO DE LA PROVINCIA DE BUENOS AIRES,SAN MARTIN 300,BUENOS AIRES,AMERICA,B6237CAD,-35.489477,-62.974539
HSBC BANK ARGENTINA S.A.,ACCESO NORTE RAMAL PILAR KM 37,BUENOS AIRES,AREA DE PROMOCIÓN EL TRIÁNGULO,B1667HEE,-34.544124,-34.544124
HSBC BANK ARGENTINA S.A.,ACCESO NORTE RAMAL PILAR KM 37,BUENOS AIRES,AREA DE PROMOCIÓN EL TRIÁNGULO,B1667HEE,-34.544124,-58.315797
BANCO SANTANDER RIO S.A.,R PANAMERICANA R PILAR KM 355 S/N PB DPTO: 1,BUENOS AIRES,AREA DE PROMOCIÓN EL TRIÁNGULO,B1667BBQ,34.445565,58.764153
BANCO DE LA PROVINCIA DE BUENOS AIRES,OSVALDO L MENDIZABAL 371,BUENOS AIRES,ARENAZA,B6075ANG,-34.966671,-61.76667
BANCO CREDICOOP COOPERATIVO LIMITADO,BELGRANO 83,BUENOS AIRES,ARRECIFES,B2740BTA,-34.062606,-60.10356
BANCO DE LA PROVINCIA DE BUENOS AIRES,RICARDO GUTIERREZ 399,BUENOS AIRES,ARRECIFES,B2740BCG,-34.062963,-60.10548
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,RICARDO GUTIERREZ 401,BUENOS AIRES,ARRECIFES,B2740BCD,-34.066711,-60.116791
BANCO DE LA NACION ARGENTINA,RICARDO GUTIERREZ 498,BUENOS AIRES,ARRECIFES,B2740BCU,-34.06505,-601.06445
BANCO DE LA NACION ARGENTINA,RICARDO GUTIERREZ 498,BUENOS AIRES,ARRECIFES,B2740BCU,-34.065052,-601.06445
BANCO MACRO S.A.,RICARDO GUTIERREZ 499 PB,BUENOS AIRES,ARRECIFES,B2740BCI,-34.064714,-60.106325
BANCO SANTANDER RIO S.A.,RICARDO GUTIERREZ 543 PB DPTO: 1,BUENOS AIRES,ARRECIFES,B2740BCK,34.065631,60.106921
BANCO CREDICOOP COOPERATIVO LIMITADO,AV. LIBERTAD  Y URUGUAY,BUENOS AIRES,ARRIBEÑOS,B6007BTB,-34.207735,-61.355078
BANCO CREDICOOP COOPERATIVO LIMITADO,AV. LIBERTAD  Y URUGUAY,BUENOS AIRES,ARRIBEÑOS,B6007BTB,-34.207735,-61.355078
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. SAN MARTIN 127,BUENOS AIRES,ASCENSION,B6003BTS,-34.233456,-61.105498
BANCO SANTANDER RIO S.A.,"AU BS. AS. LA PLATA, KM 9",BUENOS AIRES,AVELLANEDA,B1870AXD,34.655411,58.352412
BANCO SANTANDER RIO S.A.,AV MITRE 1266 PB DPTO: 1,BUENOS AIRES,AVELLANEDA,B1870AAZ,34.66513,58.359345
BANCO HIPOTECARIO S.A.,AV MITRE 506,BUENOS AIRES,AVELLANEDA,B1870AAS,-34.660196,-58.367517
BANCO SANTANDER RIO S.A.,AV MITRE 553 PB DPTO: 1,BUENOS AIRES,AVELLANEDA,B1870AAF,34.660551,58.36749
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV MITRE 570,BUENOS AIRES,AVELLANEDA,B1870AAS,-34.660675,-58.367384
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 498,BUENOS AIRES,AVELLANEDA,B1870AAR,-34.66024,-58.367991
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. BARTOLOME MITRE 641,BUENOS AIRES,AVELLANEDA,B1870AGG,-34.661679,-58.368597
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. HIPOLITO YRIGOYEN 345 PB,BUENOS AIRES,AVELLANEDA,B1870BLD,-34.661132,-58.375044
BBVA BANCO FRANCES S.A.,AV. MAIPU 171,BUENOS AIRES,AVELLANEDA,B1870AAT,-34.660241,-58.370735
BANCO DE LA NACION ARGENTINA,AV. MITRE 399,BUENOS AIRES,AVELLANEDA,B1870ADD,-34.65925,-583.6879
BANCO MACRO S.A.,AV. MITRE 424 PB,BUENOS AIRES,AVELLANEDA,B1870AAR,-34.659798,-58.368615
BANCO PATAGONIA S.A.,AV. MITRE 534,BUENOS AIRES,AVELLANEDA,B1870AAS,-34.660456,-58.367685
BANCO SANTANDER RIO S.A.,AV. MITRE 550 PB DPTO: 1,BUENOS AIRES,AVELLANEDA,B1870AAS,34.660584,58.367561
BBVA BANCO FRANCES S.A.,AV. MITRE 602,BUENOS AIRES,AVELLANEDA,B1870AAT,-34.660862,-58.367115
COMPAÑIA FINANCIERA ARGENTINA S.A.,AV. MITRE 612,BUENOS AIRES,AVELLANEDA,B1870AAT,-34.660906,-58.367055
HSBC BANK ARGENTINA S.A.,AV. MITRE 646,BUENOS AIRES,AVELLANEDA,B1870AAT,-34.661351,-58.366491
BANCO DE LA CIUDAD DE BUENOS AIRES,AV. MITRE 681 PB,BUENOS AIRES,AVELLANEDA,C1036AAK,-34.606908,-58.376307
BANCO ITAU ARGENTINA S.A.,AVENIDA MITRE 437 DPTO: OFICINA,BUENOS AIRES,AVELLANEDA,B1870AAE,-34.659458,-58.368516
BANCO COLUMBIA S.A.,BARTOLOME MITRE 505,BUENOS AIRES,AVELLANEDA,B1870AAF,-34.660271,-58.367909
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,GENERAL LAVALLE 475,BUENOS AIRES,AVELLANEDA,B1870BUI,-34.753372,-58.383796
BANCO DE LA PROVINCIA DE BUENOS AIRES,GUEMES 835,BUENOS AIRES,AVELLANEDA,B1873BOG,-34.677859,-58.36749
BANCO SANTANDER RIO S.A.,GUEMES 861,BUENOS AIRES,AVELLANEDA,B1872FJB,34.677648,58.366804
BANCO SANTANDER RIO S.A.,GUEMES 897,BUENOS AIRES,AVELLANEDA,B1872FJB,34.677648,58.366804
BANCO CREDICOOP COOPERATIVO LIMITADO,MITRE 390,BUENOS AIRES,AVELLANEDA,B1870AAQ,-34.659582,-58.368931
BANCO CREDICOOP COOPERATIVO LIMITADO,MITRE 390,BUENOS AIRES,AVELLANEDA,B1870AAQ,-34.659582,-58.368931
BANCO PIANO S.A.,MONSEÑOR PIAGGIO 56,BUENOS AIRES,AVELLANEDA,B1870CKB,34.663788,58.363945
BANCO DE LA NACION ARGENTINA,PAVON 299,BUENOS AIRES,AVELLANEDA,B1870BLC,-34.626217,-583.88922
BANCO MACRO S.A.,PIENOVI 104 PB,BUENOS AIRES,AVELLANEDA,B1868DRD,-34.611556,-58.431714
BANCO DE LA NACION ARGENTINA,25 DE MAYO 1199,BUENOS AIRES,AYACUCHO,B7150ADO,-37.152463,-584.87445
BANCO DE LA NACION ARGENTINA,25 DE MAYO 1199,BUENOS AIRES,AYACUCHO,B7150ADO,-37.15246,-584.87445
BANCO DE LA PROVINCIA DE BUENOS AIRES,SAN MARTIN 1199,BUENOS AIRES,AYACUCHO,B7150EAW,-37.151784,-58.488657
BANCO SANTANDER RIO S.A.,25 DE MAYO 599 PB DPTO: 1,BUENOS AIRES,AZUL,B7300FXF,36.779449,59.860061
BANCO DE LA PROVINCIA DE BUENOS AIRES,AMADO DIEB 270,BUENOS AIRES,AZUL,B7300IGF,-36.770334,-59.859748
BANCO DE LA NACION ARGENTINA,AV. PIAZZA,BUENOS AIRES,AZUL,B7300NUN,-36.785556,-598.49267
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. PRESIDENTE  PERON 525,BUENOS AIRES,AZUL,B7300ILG,-36.781818,-59.865398
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,BURGOS 611,BUENOS AIRES,AZUL,B7300GEM,-36.777652,-59.862763
BANCO DE LA PROVINCIA DE BUENOS AIRES,HIPOLITO YRIGOYEN 424,BUENOS AIRES,AZUL,B7300BXH,-36.777124,-59.863062
BANCO CREDICOOP COOPERATIVO LIMITADO,HIPOLITO YRIGOYEN 502,BUENOS AIRES,AZUL,B7300BXI,-36.778088,-59.861857
BANCO DE LA NACION ARGENTINA,SAN MARTIN 455,BUENOS AIRES,AZUL,B7300BZG,-37.33715,-570.36128
BANCO DE LA NACION ARGENTINA,SAN MARTIN 455,BUENOS AIRES,AZUL,B7300BZG,-37.337151,-570.36128
BANCO DE LA PROVINCIA DE BUENOS AIRES,SAN MARTIN 499,BUENOS AIRES,AZUL,B7300BZG,-36.778723,-59.862867
BANCO INDUSTRIAL S.A.,SAN MARTIN 549,BUENOS AIRES,AZUL,B7300BZI,36.779406,59.861764
BANCO INDUSTRIAL S.A.,SAN MARTIN 549,BUENOS AIRES,AZUL,B7300BZI,36.779406,59.861764
BANCO PATAGONIA S.A.,11 DE ABRIL Y ZAPIOLA S/N,BUENOS AIRES,BAHIA BLANCA,B8000CPB,-38.71,-62.265
BANCO DE LA NACION ARGENTINA,AV. LEANDRO N. ALEM 1802,BUENOS AIRES,BAHIA BLANCA,B8003DPR,-38.695571,-622.76012
BBVA BANCO FRANCES S.A.,AV. SAN MARTIN 1881,BUENOS AIRES,BAHIA BLANCA,B8000DBA,-38.767369,-62.286861
BANCO DE LA NACION ARGENTINA,AVDA. FALUCHO 195,BUENOS AIRES,BAHIA BLANCA,B8001CHB,-38.72973,-622.48445
BANCO DE LA NACION ARGENTINA,BROWN 1700,BUENOS AIRES,BAHIA BLANCA,B8001BSP,-38.734539,-622.491608
BBVA BANCO FRANCES S.A.,CALLE 18 DE JULIO S/N 1,BUENOS AIRES,BAHIA BLANCA,B8000DBA,-38.732535,-62.251804
BANCO COLUMBIA S.A.,CHICLANA 220,BUENOS AIRES,BAHIA BLANCA,B8000DBF,-38.720127,-62.264058
BANCO SANTANDER RIO S.A.,CHICLANA 232 PB DPTO: 1,BUENOS AIRES,BAHIA BLANCA,B8000DBF,38.720266,62.263911
CITIBANK N.A.,CHICLANA 241 PB Y BELGRANO,BUENOS AIRES,BAHIA BLANCA,B8000DBE,-38.72033,-62.26374
BANCO COMAFI SOCIEDAD ANONIMA,CHICLANA 279,BUENOS AIRES,BAHIA BLANCA,B8000DBE,-38.720614,-62.265616
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,CHICLANA 302,BUENOS AIRES,BAHIA BLANCA,B8000DBB,-38.72081,-62.263191
BANCO PATAGONIA S.A.,CHICLANA 326,BUENOS AIRES,BAHIA BLANCA,B8000DBH,-38.721011,-62.262903
BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA M,CHICLANA 350,BUENOS AIRES,BAHIA BLANCA,B8000DBH,-38.72125,-62.26257
BBVA BANCO FRANCES S.A.,CHICLANA 63,BUENOS AIRES,BAHIA BLANCA,B8000DBA,-38.718826,-62.265793
BBVA BANCO FRANCES S.A.,CHICLANA 63,BUENOS AIRES,BAHIA BLANCA,B8000DBA,-38.718826,-62.265793
BANCO PATAGONIA S.A.,COLON 80,BUENOS AIRES,BAHIA BLANCA,B8000DBH,-38.719672,-62.268064
BANCO DE LA NACION ARGENTINA,DON BOSCO 1285,BUENOS AIRES,BAHIA BLANCA,B8000BEY,-38.71983,-622.97023
BANCO DE LA NACION ARGENTINA,DON BOSCO 1285,BUENOS AIRES,BAHIA BLANCA,B8000BEY,-38.719832,-622.97023
BANCO DE LA NACION ARGENTINA,ESTOMBA 52,BUENOS AIRES,BAHIA BLANCA,B8000AAB,-38.71754,-622.67478
BANCO DE LA NACION ARGENTINA,ESTOMBA 52,BUENOS AIRES,BAHIA BLANCA,B8000AAB,-38.717538,-622.67478
BANCO DE LA NACION ARGENTINA,FALUCHO 185,BUENOS AIRES,BAHIA BLANCA,B8001CHB,-38.729732,-622.48445
BANCO DE LA NACION ARGENTINA,RUTA NACIONAL 229 145,BUENOS AIRES,BAHIA BLANCA,B8000AAB,-38.889332,-620.86334
BBVA BANCO FRANCES S.A.,RUTA NACIONAL N° 3 KM 696,BUENOS AIRES,BAHIA BLANCA,B8000DBA,-38.702553,-62.346325
BANCO PATAGONIA S.A.,SAN ANDRES 800,BUENOS AIRES,BAHIA BLANCA,B8000DBH,-38.721011,-62.262
BANCO DE LA NACION ARGENTINA,SAN MARTÍN 161,BUENOS AIRES,BAHIA BLANCA,B8000AAB,-38.71838,-622.6317
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALBERDI 1462,BUENOS AIRES,BAHÍA BLANCA,B8001BPH,-38.727699,-62.24649
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALEM 1033,BUENOS AIRES,BAHÍA BLANCA,B8000COL,-38.704833,-62.267911
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALEM 979,BUENOS AIRES,BAHÍA BLANCA,B8000COK,-38.705205,-62.267718
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALMAFUERTE 750,BUENOS AIRES,BAHÍA BLANCA,B8000ASP,-38.719737,-62.284314
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALMAFUERTE 750,BUENOS AIRES,BAHÍA BLANCA,B8000ASP,-38.719774,-62.284557
BANCO MACRO S.A.,ALSINA 29 PB,BUENOS AIRES,BAHÍA BLANCA,B8000IHA,-38.718705,-62.264956
BANCO CREDICOOP COOPERATIVO LIMITADO,ALSINA 43,BUENOS AIRES,BAHÍA BLANCA,B8000IHA,-38.718629,-62.264765
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALSINA 65,BUENOS AIRES,BAHÍA BLANCA,B8000IHA,-38.71203,-52.256811
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CHICLANA 39,BUENOS AIRES,BAHÍA BLANCA,B8000DBA,-38.719114,-62.265429
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV COLON 503,BUENOS AIRES,BAHÍA BLANCA,B8000FTF,-38.723458,-62.275304
BANCO SANTANDER RIO S.A.,AV SARMIENTO 1237 PB DPTO: 1,BUENOS AIRES,BAHÍA BLANCA,B8001FGE,38.706701,62.254192
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. COLON 36,BUENOS AIRES,BAHÍA BLANCA,B8000FTN,-38.718991,-62.267188
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. COLON 36,BUENOS AIRES,BAHÍA BLANCA,B8000FTN,-38.718986,-62.267097
BANCO CREDICOOP COOPERATIVO LIMITADO,AV. GENERAL ARIAS 2305,BUENOS AIRES,BAHÍA BLANCA,B8103XAA,-38.755564,-62.262888
BANCO CREDICOOP COOPERATIVO LIMITADO,BRASIL 119,BUENOS AIRES,BAHÍA BLANCA,B8003GDC,-38.707921,-62.284769
HSBC BANK ARGENTINA S.A.,CHICLANA 201,BUENOS AIRES,BAHÍA BLANCA,B8000DBE,-38.719995,-62.264251
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,CHICLANA 302,BUENOS AIRES,BAHÍA BLANCA,B8000DBB,-38.72081,-62.263191
BANCO HIPOTECARIO S.A.,CHICLANA 417,BUENOS AIRES,BAHÍA BLANCA,B8000DBI,-38.719939,-62.262196
BANCO DE LA PROVINCIA DE BUENOS AIRES,CHICLANA 565 Y UNDIANO,BUENOS AIRES,BAHÍA BLANCA,B8000DBK,-38.705213,-62.267768
BANCO DE LA NACION ARGENTINA,CORONEL BRANDSEN 36,BUENOS AIRES,BAHÍA BLANCA,B8000IQB,-38.722922,-622.59223
BANCO CREDICOOP COOPERATIVO LIMITADO,DON BOSCO 1120,BUENOS AIRES,BAHÍA BLANCA,B8000BEX,-38.721393,-62.295048
BANCO CREDICOOP COOPERATIVO LIMITADO,DON BOSCO 1120,BUENOS AIRES,BAHÍA BLANCA,B8000BEX,-38.721393,-62.295048
BANCO SANTANDER RIO S.A.,DONADO 56 PB DPTO: 1,BUENOS AIRES,BAHÍA BLANCA,B8000IYB,38.722068,62.266791
BANCO CREDICOOP COOPERATIVO LIMITADO,DONADO 66,BUENOS AIRES,BAHÍA BLANCA,B8000IYB,-38.721132,-62.265639
BANCO DE LA PROVINCIA DE BUENOS AIRES,ESTOMBA 32,BUENOS AIRES,BAHÍA BLANCA,B8000AAB,-38.717925,-62.266975
BANCO CREDICOOP COOPERATIVO LIMITADO,ESTOMBA 968,BUENOS AIRES,BAHÍA BLANCA,B8000AAS,-38.709999,-62.27723
BANCO INDUSTRIAL S.A.,GARIBALDI 299,BUENOS AIRES,BAHÍA BLANCA,B8001GWE,38.72895,62.247447
BANCO CREDICOOP COOPERATIVO LIMITADO,GARIBALDI 360,BUENOS AIRES,BAHÍA BLANCA,B8001GWH,-38.728439,-62.24656
BANCO CREDICOOP COOPERATIVO LIMITADO,GARIBALDI 360,BUENOS AIRES,BAHÍA BLANCA,B8001GWH,-38.728439,-62.24656
BANCO CREDICOOP COOPERATIVO LIMITADO,GUATEMALA 533,BUENOS AIRES,BAHÍA BLANCA,B8003JNK,-38.699236,-62.275954
BANCO DE LA PROVINCIA DE BUENOS AIRES,LAINEZ 2400,BUENOS AIRES,BAHÍA BLANCA,B8001DDT,-38.729133,-62.228134
BANCO MACRO S.A.,MORENO 47 PB,BUENOS AIRES,BAHÍA BLANCA,B8000FWA,-38.718397,-62.268518
BANCO SANTANDER RIO S.A.,OHIGGINS 81 PB DPTO: 1,BUENOS AIRES,BAHÍA BLANCA,B8000IVA,38.720473,62.267025
